name,city,province,certification_date,certifier
ACQUE DEL CHIAMPO S.p.A. Società Benefit,Arzignano,VI,11-12-2023,DNV Business Assurance Italy S.r.l.
ACQUE DEL CHIAMPO S.p.A. Società Benefit - Depuratore,Lonigo,VI,11-12-2023,DNV Business Assurance Italy S.r.l.
ACQUE DEL CHIAMPO S.p.A. Società Benefit- Depuratore,Montecchio Maggiore,VI,11-12-2023,DNV Business Assurance Italy S.r.l.
ACQUEVENETE SPA,MONSELICE,PD,20-11-2024,Bureau Veritas Certification Holding SAS Italy Branch
ACQUEVENETE SPA,ROVIGO,RO,20-11-2024,Bureau Veritas Certification Holding SAS Italy Branch
A.D.A. S.r.l.,Padova,PD,14-11-2025,CERTITALIA S.r.l.
AD CONSULTING SPA,PADOVA,PD,14-04-2025,SMC Società Mediterranea Certificazioni S.p.A.
ADECCO GROUP ITALIA,SAN BONIFACIO,VR,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,LONIGO,VI,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,MESTRE,VE,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,PORTOGRUARO,VE,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,NOGARA,VR,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,FELTRE,BL,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,CAMPOSAMPIERO,PD,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,BELLUNO,BL,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,MONTECCHIO MAGGIORE,VI,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,TREVISO,TV,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,VILLAFRANCA DI VERONA,VR,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,VERONA,VR,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,CASTELFRANCO VENETO,TV,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,SCHIO,VI,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,THIENE,VI,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,MONSELICE,PD,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,MONTEBELLUNA,TV,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,SAN BELLINO,RO,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,ODERZO,TV,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,MAROSTICA,VI,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,PADOVA,PD,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,SAN DONA' DI PIAVE,VE,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,CITTADELLA,PD,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,SAN MARTINO BUON ALBERGO,VR,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,BASSANO DEL GRAPPA,VI,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,AFFI,VR,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,CONEGLIANO,TV,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,VICENZA,VI,19-12-2023,RINA Services S.p.A.
ADECCO GROUP ITALIA,VALDAGNO,VI,19-12-2023,RINA Services S.p.A.
AD.EL S.r.l.,Martellago,VE,14-05-2025,SGS ICS ITALIA S.R.L.
ADEODATA S.r.l.,CERVARESE SANTA CROCE,PD,12-05-2025,TÜV Italia S.r.l.
ADIGE CONDOTTE S.r.l.,Sommacampagna,VR,17-07-2024,CERTITALIA S.r.l.
ADIGE STRADE SRL,Trevenzuolo,VR,30-11-2023,DIMITTO Italia S.r.l. Società Benefit
Adiramef S.r.l.,Verona,VR,29-01-2024,SI CERT ITALY S.r.l.
Adler Ortho S.p.A.,Verona,VR,20-12-2024,DEKRA Testing and Certification S.r.l.
ADRIATICA STRADE COSTRUZIONI GENERALI S.r.l.,Castelfranco Veneto,TV,12-02-2026,CERTITALIA S.r.l.
A.E.B. COSTRUZIONI GENERALI SRL,VILLORBA,TV,19-05-2025,SMC Società Mediterranea Certificazioni S.p.A.
Aeroporto di Treviso S.P.A. in breve AERTRE S.P.A.,TREVISO,TV,18-02-2026,CSQA Certificazioni S.r.l.
Aeroporto Valerio Catullo di Verona Villafranca Società per Azioni,SOMMACAMPAGNA,VR,18-02-2026,CSQA Certificazioni S.r.l.
A.F. ENERGIA S.R.L.,Abano Terme,PD,19-12-2025,TUV AUSTRIA ITALIA S.p.A.
A.F. PETROLI S.P.A.,Abano Terme,PD,15-12-2025,TUV AUSTRIA ITALIA S.p.A.
AGE WEB SOLUTIONS SRL,ROVIGO,RO,30-04-2024,IMQ S.p.A.
AGILE LAB S.r.l.,Padova,PD,07-06-2024,SQS Italia S.r.l.
AGOSTINI GIANPIETRO S.R.L.,ARSIERO,VI,20-01-2026,SMC Società Mediterranea Certificazioni S.p.A.
AGRI - CENTER S.R.L.,SALARA,RO,02-02-2026,RINA Services S.p.A.
AGRICONSULTING S.p.A.,Padova,PD,09-03-2026,KIWA CERMET Italia S.p.A.
Agrolab Italia S.r.l.,Vicenza,VI,23-12-2024,DNV Business Assurance Italy S.r.l.
Agrolab Italia S.r.l.,Altavilla Vicentina,VI,23-12-2024,DNV Business Assurance Italy S.r.l.
AGSM AIM Energia S.p.A,Verona,VR,20-12-2024,TÜV NORD ITALIA S.r.l.
AGSM AIM Energia S.p.A,Vicenza,VI,20-12-2024,TÜV NORD ITALIA S.r.l.
AGSM AIM Energia S.p.A,Treviso,TV,20-12-2024,TÜV NORD ITALIA S.r.l.
AGSM AIM Smart Solutions S.r.l.,Verona,VR,20-12-2024,TÜV NORD ITALIA S.r.l.
AGSM AIM Smart Solutions S.r.l.,Vicenza,VI,20-12-2024,TÜV NORD ITALIA S.r.l.
AGSM AIM S.p.A.,Vicenza,VI,20-12-2024,TÜV NORD ITALIA S.r.l.
Aindo S.p.a.,Padova,PD,10-07-2025,"Perry Johnson Registrars, Inc."
Aipem SRL,Venezia,VE,07-08-2025,SI CERT ITALY S.r.l.
AI PROGETTI S.r.l.,Mestre,VE,24-11-2024,SGS ICS ITALIA S.R.L.
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,PADOVA,PD,21-12-2022,CERTIQUALITY S.r.l.
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,CASTELNUOVO DEL GARDA,VR,21-12-2022,CERTIQUALITY S.r.l.
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,VERONA,VR,21-12-2022,CERTIQUALITY S.r.l.
AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.,TREVENZUOLO,VR,21-12-2022,CERTIQUALITY S.r.l.
AKERA S.R.L.,LIMENA,PD,13-11-2025,IMQ S.p.A.
AKTWELL S.R.L.,VERONA,VR,30-12-2025,ICDQ S.r.l.
ALADINO SOCIETA COOPERATIVA SOCIALE,Mirano,VE,02-07-2025,TUV AUSTRIA ITALIA S.p.A.
ALBA S.R.L.,San Bonifacio,VR,26-07-2023,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit
ALBA S.R.L.,Martellago,VE,26-07-2023,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit
ALDA + SRL BENEFIT CORPORATION SB,VICENZA,VI,11-12-2024,RINA Services S.p.A.
Aldia Cooperativa Sociale,Verona,VR,17-07-2023,QUASER CERTIFICAZIONI S.r.l.
Aldo Romeo S.p.a.,Padova,PD,25-09-2025,"Perry Johnson Registrars, Inc."
Ale Consulting S.r.l.,Doclè,VR,03-04-2025,SI CERT ITALY S.r.l.
ALFA ACCIAI S.P.A.,VICENZA,VI,09-02-2026,CERTIQUALITY S.r.l.
Algeco S.p.a.,Torre di Mosto,VE,27-12-2024,"Perry Johnson Registrars, Inc."
ALI S.p.A.,Rovigo,RO,26-07-2023,QUASER CERTIFICAZIONI S.r.l.
ALI S.p.A.,Thiene,VI,26-07-2023,QUASER CERTIFICAZIONI S.r.l.
ALI S.p.A.,Padova,PD,26-07-2023,QUASER CERTIFICAZIONI S.r.l.
ALI S.p.A.,San Donà di Piave,VE,26-07-2023,QUASER CERTIFICAZIONI S.r.l.
ALI S.p.A.,Portogruaro,VE,26-07-2023,QUASER CERTIFICAZIONI S.r.l.
ALISUD S.P.A.,Venezia,VE,18-06-2024,QUASER CERTIFICAZIONI S.r.l.
ALISUD S.P.A.,Villafranca di Verona,VR,18-06-2024,QUASER CERTIFICAZIONI S.r.l.
All Citrus S.r.l. Unipersonale,LUSIA,RO,17-02-2026,CSQA Certificazioni S.r.l.
ALL.CO S.p.A.,Vigonza,PD,30-11-2023,KIWA CERMET Italia S.p.A.
ALLIANZ BANK FINANCIAL ADVISORS SPA,Verona,VR,22-12-2025,INTERTEK ITALIA S.p.A.
ALLIANZ BANK FINANCIAL ADVISORS SPA,Treviso,TV,22-12-2025,INTERTEK ITALIA S.p.A.
Allianz S.p.A.,Treviso,TV,26-03-2024,INTERTEK ITALIA S.p.A.
Allianz S.p.A.,Mestre,VE,26-03-2024,INTERTEK ITALIA S.p.A.
Allianz S.p.A.,Vicenza,VI,26-03-2024,INTERTEK ITALIA S.p.A.
Allianz S.p.A.,Verona,VR,26-03-2024,INTERTEK ITALIA S.p.A.
Allianz S.p.A.,Padova,PD,26-03-2024,INTERTEK ITALIA S.p.A.
ALLNEX ITALY S.r.l.,ROMANO D'EZZELINO,VI,12-11-2024,SGS ICS ITALIA S.R.L.
ALMAVIVA DIGITALTEC S.r.l,Marghera,VE,29-11-2023,DNV Business Assurance Italy S.r.l.
ALMAVIVA DIGITALTEC S.r.l,Padova,PD,29-11-2023,DNV Business Assurance Italy S.r.l.
ALMAVIVA S.p.A.,Marghera,VE,29-11-2023,DNV Business Assurance Italy S.r.l.
ALMAVIVA S.p.A.,Padova,PD,29-11-2023,DNV Business Assurance Italy S.r.l.
ALMAWAVE S.p.A.,Padova,PD,29-11-2023,DNV Business Assurance Italy S.r.l.
ALPERIA GREEN FUTURE SRL,MIRANO,VE,01-12-2024,IMQ S.p.A.
ALPERIA GREEN FUTURE SRL,SAN MARTINO BUON ALBERGO,VR,01-12-2024,IMQ S.p.A.
ALPERIA GREEN FUTURE SRL,SOAVE,VR,01-12-2024,IMQ S.p.A.
ALPITOUR S.p.A.,SOMMACAMPAGNA,VR,30-10-2024,DNV Business Assurance Italy S.r.l.
ALSCO ITALIA SRL,Padova,PD,13-10-2025,Bureau Veritas Certification Holding SAS Italy Branch
ALTAMED SRL,LIMENA,PD,20-12-2024,IMQ S.p.A.
ALTEA IN S.r.l.,LIMENA,PD,20-12-2024,QS CERTIFICAZIONI ITALIA S.r.l.
ALTEA S.p.A.,LIMENA,PD,20-12-2024,QS CERTIFICAZIONI ITALIA S.r.l.
ALTEA UP S.r.l.,LIMENA,PD,20-12-2024,QS CERTIFICAZIONI ITALIA S.r.l.
ALTEN ITALIA SPA Unipersonale,PADOVA,PD,20-05-2024,IMQ S.p.A.
ALTEN ITALIA SPA Unipersonale,VERONA,VR,20-05-2024,IMQ S.p.A.
ALTERNA S.r.l.,VILLORBA,TV,23-12-2024,QS CERTIFICAZIONI ITALIA S.r.l.
ALTERNA S.r.l.,LIMENA,PD,23-12-2024,QS CERTIFICAZIONI ITALIA S.r.l.
ALTHEA ITALIA S.p.A.,VICENZA,VI,14-12-2023,SGS ICS ITALIA S.R.L.
ALTHEA ITALIA S.p.A.,Padova,PD,14-12-2023,SGS ICS ITALIA S.R.L.
ALTO TREVIGIANO SERVIZI S.P.A.,Montebelluna,TV,23-10-2024,Bureau Veritas Certification Holding SAS Italy Branch
AMAJOR S.P.A. SOCIETA' BENEFIT,Noventana,PD,06-03-2024,Bureau Veritas Certification Holding SAS Italy Branch
AMAZON ITALIA TRANSPORT S.R.L,VIGONZA,PD,08-11-2023,Bureau Veritas Certification Holding SAS Italy Branch
AMAZON ITALIA TRANSPORT S.R.L,VENEZIA,VE,08-11-2023,Bureau Veritas Certification Holding SAS Italy Branch
AMAZON ITALIA TRANSPORT S.R.L,RIESE PIO X,TV,08-11-2023,Bureau Veritas Certification Holding SAS Italy Branch
AMAZON ITALIA TRANSPORT S.R.L,VICENZA,VI,08-11-2023,Bureau Veritas Certification Holding SAS Italy Branch
AMAZON ITALIA TRANSPORT S.R.L,VERONA,VR,08-11-2023,Bureau Veritas Certification Holding SAS Italy Branch
AMAZON ITALIA TRANSPORT S.R.L,PADOVA,PD,08-11-2023,Bureau Veritas Certification Holding SAS Italy Branch
AMBROGIO TRASPORTI - S.P.A.,DOLCE',VR,27-11-2024,APAVE CERTIFICATION ITALIA S.r.l.
AMBROSINI PAOLO,VICENZA,VI,17-12-2025,TÜV Italia S.r.l.
AMORIM CORK ITALIA SPA,Conegliano,TV,29-04-2025,DNV Business Assurance Italy S.r.l.
AMPERIA S.r.l.,Villafranca di Verona,VR,05-11-2024,CERTITALIA S.r.l.
AMPERIA S.r.l.,Bussolengo,VR,05-11-2024,CERTITALIA S.r.l.
AMPLIZE S.R.L.,VENEZIA,VE,18-06-2024,ACM Cert S.r.l.
AMREF HEALTH AFRICA – COMITATO COLLABORAZIONE MEDICA ETS,PADOVA,PD,25-11-2024,RINA Services S.p.A.
A.M. S.r.l.,Zero Branco,TV,30-12-2025,AFNOR ITALIA S.r.l.
"AMT3 AZIENDA MOBILITA' TRASPORTI, TURISMO E TERRITORIO S.P.A.",VERONA,VR,22-12-2023,RINA Services S.p.A.
ANAS S.P.A.,VENEZIA,VE,16-12-2024,RINA Services S.p.A.
ANCAP SRL,Sommacampagna,VR,30-12-2024,SUSTAINY S.r.l. a Socio unico
ANDERSEN ITALIA S.R.L. STA,VERONA,VR,01-04-2026,RINA Services S.p.A.
ANDERSEN ITALIA S.R.L. STA,VENEZIA,VE,01-04-2026,RINA Services S.p.A.
ANDERSEN ITALIA S.R.L. STA,VENEZIA- MESTRE,VE,01-04-2026,RINA Services S.p.A.
ANDRITZ HYDRO S.R.L. UNIPERSONALE,SCHIO,VI,11-07-2025,QUALITY ITALIA S.r.l.
ANESE S.r.l.,Concordia Sagittaria,VE,27-11-2025,European Quality Assurance Italia S.r.l. - Società Benefit
A.N.R. EDILIZIA & IMPIANTI S.R.L.,Alpago,BL,09-05-2024,DIMITTO Italia S.r.l. Società Benefit
ANTARES VISION SPA,DUEVILLE,VI,07-08-2025,TÜV Italia S.r.l.
ANTHESYS SERVIZI SOCIETA' COOPERATIVA,PADOVA,PD,29-04-2024,ACM Cert S.r.l.
ANTHESYS SERVIZI SOCIETA' COOPERATIVA,TREVISO,TV,29-04-2024,ACM Cert S.r.l.
AON SPA,PORDENONE,PD,23-12-2024,RINA Services S.p.A.
AON SPA,BELLUNO,BL,23-12-2024,RINA Services S.p.A.
AON SPA,VERONA,VR,23-12-2024,RINA Services S.p.A.
AON SPA,TREVISO,TV,23-12-2024,RINA Services S.p.A.
AON SPA,VICENZA,VI,23-12-2024,RINA Services S.p.A.
A.P.A. Tours S.a.s. di Panzarin Gian Luigi & C.,Santo Stino di Livenza,VE,26-06-2024,SI CERT ITALY S.r.l.
Apcoa Italia S.p.A.,Treviso,TV,12-12-2024,DASA RÄGISTER S.p.A.
Apcoa Italia S.p.A.,Verona,VR,12-12-2024,DASA RÄGISTER S.p.A.
Apcoa Italia S.p.A.,Venezia,VE,12-12-2024,DASA RÄGISTER S.p.A.
Aperam Stainless Services & Solutions Italy S.r.l.,Creazzo,VI,11-01-2024,DASA RÄGISTER S.p.A.
APIS S.p.A.,Treviso,TV,22-01-2024,SI CERT ITALY S.r.l.
APLEONA ITALY S.p.A.,PADOVA,PD,06-11-2023,SGS ICS ITALIA S.R.L.
APRILE S.P.A.,VERONA,VR,30-05-2025,ICIM S.p.A.
APS HOLDING SPA,PADOVA,PD,17-12-2025,IMQ S.p.A.
APS HOLDING SPA,PONTE SAN NICOLO',PD,17-12-2025,IMQ S.p.A.
ARBO S.P.A.,PADOVA,PD,27-12-2023,RINA Services S.p.A.
ARBO S.P.A.,VENEZIA,VE,27-12-2023,RINA Services S.p.A.
ARCADIA S.R.L,NOVENTA DI PIAVE,VE,20-03-2024,Bureau Veritas Certification Holding SAS Italy Branch
ARCHEO ED SRL,Padova,PD,07-07-2025,TÜV NORD ITALIA S.r.l.
ARCHEPI SRL,PADOVA,PD,13-11-2025,CVI ITALIA S.r.l.s.
ARCHIMEDE S.p.A,Castelfranco Veneto,TV,10-03-2025,QUASER CERTIFICAZIONI S.r.l.
ARCHIMEDE S.p.A,Treviso,TV,10-03-2025,QUASER CERTIFICAZIONI S.r.l.
ARCHIMEDE S.p.A,Verona,VR,10-03-2025,QUASER CERTIFICAZIONI S.r.l.
ARCHIMEDE S.p.A,Rovigo,RO,10-03-2025,QUASER CERTIFICAZIONI S.r.l.
ARCHIMEDE S.p.A,Mestre,VE,10-03-2025,QUASER CERTIFICAZIONI S.r.l.
ARCHIMEDE S.p.A,Thiene,VI,10-03-2025,QUASER CERTIFICAZIONI S.r.l.
ARCHIMEDE S.p.A,Padova,PD,10-03-2025,QUASER CERTIFICAZIONI S.r.l.
Arcipelago Società Consortile a r.l.,Bovolenta,PD,13-12-2024,SI CERT ITALY S.r.l.
ARCOBALENO MULTISERVICE S.R.L.,Venezia,VE,02-05-2024,CERSIST S.r.l.
Arco Security S.r.l.,Venezia,VE,13-12-2025,SI CERT ITALY S.r.l.
ARCSYSTEM S.R.L.,Albignasego,PD,14-10-2025,CISE - Centro per l'Innovazione e lo Sviluppo Economico
Areafap S.r.l.,Campo San Martino,PD,28-07-2025,DASA RÄGISTER S.p.A.
AREATECNICA S.R.L.,BELLUNO,BL,16-12-2025,Q-AID ASSESSMENT & CERTIFICATION S.r.l.
AREATECNICA S.R.L.,SEDICO,BL,16-12-2025,Q-AID ASSESSMENT & CERTIFICATION S.r.l.
ARES LINE S.p.A.,Carrè,VI,19-09-2024,DNV Business Assurance Italy S.r.l.
ARES S.r.l.,VIGONOVO,VE,17-05-2024,ACM Cert S.r.l.
Argo Costruzioni e Restauri S.r.l.,Villorba,TV,28-10-2025,QUASER CERTIFICAZIONI S.r.l.
ARGO LOGICA S.R.L,PADOVA,PD,04-09-2025,Bureau Veritas Certification Holding SAS Italy Branch
Argos Vip Private Handling srl,Venezia,VE,27-06-2024,SI CERT ITALY S.r.l.
Argos Vip Private Handling srl,Sommacampagna,VR,27-06-2024,SI CERT ITALY S.r.l.
Arkè S.r.l.,Buttapietra,VR,05-02-2026,SI CERT ITALY S.r.l.
ARLECCHINO S.N.C. DI FERRAZZO SARA & C.,Jesolo,VE,13-05-2025,SGS ICS ITALIA S.R.L.
ARREDO 3 S.R.L.,Scorze',VE,24-01-2025,Bureau Veritas Certification Holding SAS Italy Branch
Arriva Udine Spa,Sappada,BL,17-04-2024,ANCIS S.r.l.
ARSLOGICA SISTEMI SRL,PADOVA,PD,24-09-2024,IMQ S.p.A.
Arte Bianca S.r.l.,Venezia,VE,23-12-2025,SI CERT ITALY S.r.l.
Arteco S.r.l.,Verona,VR,16-07-2025,DASA RÄGISTER S.p.A.
ARTESIA POZZI PER ACQUA S.R.L.,NOGARA,VR,19-12-2023,Bureau Veritas Certification Holding SAS Italy Branch
Artsana S.p.A.,Padova,PD,17-12-2025,KIWA CERMET Italia S.p.A.
Artsana S.p.A.,VILLAFRANCA DI VERONA,VR,17-12-2025,KIWA CERMET Italia S.p.A.
ARTSANITY S.R.L.,Castelfranco Veneto,TV,24-06-2025,QUASER CERTIFICAZIONI S.r.l.
ASCOM SERVIZI BELLUNO S.r.l.,Agordo,BL,28-07-2025,KIWA CERMET Italia S.p.A.
ASCOM SERVIZI BELLUNO S.r.l.,Santo Stefano di Cadore,BL,28-07-2025,KIWA CERMET Italia S.p.A.
ASCOM SERVIZI BELLUNO S.r.l.,Sedico,BL,28-07-2025,KIWA CERMET Italia S.p.A.
ASCOM SERVIZI BELLUNO S.r.l.,Feltre,BL,28-07-2025,KIWA CERMET Italia S.p.A.
ASCOM SERVIZI BELLUNO S.r.l.,Cortina d'Ampezzo,BL,28-07-2025,KIWA CERMET Italia S.p.A.
ASCOM SERVIZI BELLUNO S.r.l.,Pieve di Cadore,BL,28-07-2025,KIWA CERMET Italia S.p.A.
ASCOM SERVIZI BELLUNO S.r.l.,Belluno,BL,28-07-2025,KIWA CERMET Italia S.p.A.
ASFO S.p.A.,Villamarzana,RO,23-12-2025,DNV Business Assurance Italy S.r.l.
ASFO S.p.A.,Marano Vicentino,VI,23-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l.,Mestrino,PD,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - CENTRO CARNI,Monselice,PD,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Magazzino,Pianiga,VE,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Magazzino,Mestrino,PD,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Piattaforma Pesce,Porto Viro,RO,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Casier,TV,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Padova,PD,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Mestre,VE,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Asiago,VI,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Bassano del Grappa,VI,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Jesolo,VE,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Paese,TV,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Venezia,VE,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Lonigo,VI,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Carbonera,TV,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Limena,PD,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Chioggia,VE,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Mestrino,PD,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Treviso,TV,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Motta di Livenza,TV,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Conegliano,TV,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Cavarzere,VE,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Albignasego,PD,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Monselice,PD,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Caldogno,VI,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Vigonza,PD,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Roncade,TV,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Este,PD,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Gruaro,VE,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Selvazzano Dentro,PD,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Vigonovo,VE,11-12-2025,DNV Business Assurance Italy S.r.l.
ASPIAG SERVICE S.r.l. - Punto Vendita,Montebelluna,TV,11-12-2025,DNV Business Assurance Italy S.r.l.
